Stat-Xplore

"Population Estimates"
"National - Regional - LAs by Year by Age"
"Counting: Population"

Filters:
"Default Summation","Population"
"Age","0-4"

"Measures","Age","National - Regional - LAs","Year","Count",
"Population","0-4","E07000143","Mid-2019",7331
"Population","0-4","E07000143","Mid-2020",7124
"Population","0-4","E07000144","Mid-2019",6009
"Population","0-4","E07000144","Mid-2020",5976
"Population","0-4","E07000145","Mid-2019",5380
"Population","0-4","E07000145","Mid-2020",5186
"Population","0-4","E07000146","Mid-2019",8008
"Population","0-4","E07000146","Mid-2020",7607
"Population","0-4","E07000147","Mid-2019",3963
"Population","0-4","E07000147","Mid-2020",3805
"Population","0-4","E07000148","Mid-2019",7570
"Population","0-4","E07000148","Mid-2020",7385
"Population","0-4","E07000149","Mid-2019",7279
"Population","0-4","E07000149","Mid-2020",7118
"Population","0-4","E07000200","Mid-2019",4152
"Population","0-4","E07000200","Mid-2020",4140
"Population","0-4","E07000244","Mid-2019",11379
"Population","0-4","E07000244","Mid-2020",11083
"Population","0-4","E07000202","Mid-2019",9109
"Population","0-4","E07000202","Mid-2020",8902
"Population","0-4","E07000203","Mid-2019",4510
"Population","0-4","E07000203","Mid-2020",4490
"Population","0-4","E07000245","Mid-2019",10953
"Population","0-4","E07000245","Mid-2020",10468
"Population","0-4","E09000007","Mid-2019",14108
"Population","0-4","E09000007","Mid-2020",14174
"Population","0-4","E09000001","Mid-2019",462
"Population","0-4","E09000001","Mid-2020",474
"Population","0-4","E09000012","Mid-2019",20239
"Population","0-4","E09000012","Mid-2020",19708
"Population","0-4","E09000013","Mid-2019",11161
"Population","0-4","E09000013","Mid-2020",10930
"Population","0-4","E09000014","Mid-2019",17953
"Population","0-4","E09000014","Mid-2020",17426
"Population","0-4","E09000019","Mid-2019",12944
"Population","0-4","E09000019","Mid-2020",12953
"Population","0-4","E09000020","Mid-2019",8243
"Population","0-4","E09000020","Mid-2020",8064
"Population","0-4","E09000022","Mid-2019",18526
"Population","0-4","E09000022","Mid-2020",17904
"Population","0-4","E09000023","Mid-2019",21515
"Population","0-4","E09000023","Mid-2020",20877
"Population","0-4","E09000025","Mid-2019",27217
"Population","0-4","E09000025","Mid-2020",26893
"Population","0-4","E09000028","Mid-2019",19976
"Population","0-4","E09000028","Mid-2020",19471
"Population","0-4","E09000030","Mid-2019",21978
"Population","0-4","E09000030","Mid-2020",21883
"Population","0-4","E09000032","Mid-2019",21585
"Population","0-4","E09000032","Mid-2020",20980
"Population","0-4","E09000033","Mid-2019",13543
"Population","0-4","E09000033","Mid-2020",13634
"Population","0-4","E09000002","Mid-2019",19097
"Population","0-4","E09000002","Mid-2020",18910
"Population","0-4","E09000003","Mid-2019",26258
