Stat-Xplore

"Relative Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year"
"Counting: Relative Low Income"

Filters:
"Default Summation","Relative Low Income"

"Year","2019/20","2019/20 - Annotations","2020/21 (p)","2020/21 - Annotations",
"National - Regional - LA - OAs",
"W06000023",5220,,6831,,
"W06000008",2948,,3769,,
"W06000009",6063,,7692,,
"W06000010",8931,,11282,,
"W06000011",9721,,12225,,
"W06000012",6206,,8010,,
"W06000013",6087,,7838,,
"W06000014",4535,,5878,,
"W06000015",17196,,21283,,
"W06000016",12526,,16250,,
"W06000024",3182,,4129,,
"W06000018",9071,,11158,,
"W06000019",3919,,4706,,
"W06000020",4288,,5581,,
"W06000021",2603,,3299,,
"W06000022",8668,,11128,,
"S12000033",6139,,5473,,
"S12000034",6285,,5621,,
"S12000041",4133,,3542,,
"S12000035",2660,,2097,,
"S12000036",12027,,10741,,
"S12000005",2409,,1988,,
"S12000006",6133,,5086,,
"S12000042",6242,,5079,,
"S12000008",5835,,4935,,
"S12000045",2480,,1992,,
"S12000010",3599,,2979,,
"S12000011",2505,,2181,,
"S12000014",6324,,5369,,
"S12000047",16211,,13310,,
"S12000049",35235,,29625,,
"S12000017",7963,,7076,,
"S12000018",2710,,2139,,
"S12000019",3235,,2879,,
"S12000020",3216,,3058,,
"S12000013",739,,605,,
"S12000021",6825,,5643,,
"S12000050",16599,,13966,,
"S12000023",633,,571,,
"S12000048",4694,,3951,,
"S12000038",6457,,5343,,
"S12000026",4185,,3382,,
"S12000027",487,,656,,
"S12000028",4114,,3402,,
"S12000029",11768,,9975,,
"S12000030",2858,,2373,,
"S12000039",4184,,3463,,
"S12000040",7685,,6510,,
"N09000001",6054,,6564,,
"N09000011",6113,,6443,,
"N09000002",11585,,12880,,
"N09000003",18794,,18758,,
"N09000004",7495,,8035,,
"N09000005",9623,,9515,,
"N09000006",6534,,6907,,
"N09000007",4973,,5375,,
"N09000008",6247,,6622,,
"N09000009",8133,,9075,,
"N09000010",11294,,12140,,
"ZZXXXXXXX",..,,..,,
"Total",2989012,,2919789,,


"INFO","Statistical disclosure control has been applied to this table to avoid the release of confidential data.  Totals may not sum due to the disclosure control applied."


Symbol,Description
"I",""".."" denotes a nil or negligible number of children."
"II","Relative low-income is defined as a family whose equivalised income is below 60 per cent of contemporary median income. Gross income measure is Before Housing Costs (BHC) and includes contributions from earnings, state support and pensions."
"III","Income is equivalised to adjust for household size and family composition."
"IV","Child age is derived as the duration from Date of Birth to 31 March in each year. A child is defined as an individual aged under 16 or 16-19 and they are not married, in a civil partnership nor living with a partner; and are still living with parents/a responsible adult; and are in full-time non-advanced education or in unwaged government training."
"V","Families “in-work” are those to have had an accumulated period of at least 26 weeks paid employment or self-employment within the 52 week tax year. Employment activity is accumulated from either (or both) the adult claimant of Child Benefit and any partner(s) in the tax year."
"VI","Only families to have claimed Child Benefit and at least one other household benefit (Universal Credit, Tax Credit or Housing Benefit) will be included in the statistics."
"p","Figures marked ""p"" are provisional. These figures will be subject to revision in subsequent releases."


Source: Department for Work and Pensions
